latitude,longitude,altura,speed
-3.092395,-60.018638,18.1,2.44
-3.092401,-60.018631,16.8,1.07
-3.092406,-60.018627,15.1,1.09
-3.09241,-60.018622,14.4,0.26
-3.092413,-60.018614,13.7,0.22
-3.092412,-60.01861,13.5,0.5
-3.092414,-60.018598,12.8,0.74
-3.092412,-60.018577,14.0,1.13
-3.092452,-60.018538,18.5,1.43
-3.092434,-60.018557,19.2,1.37
-3.092457,-60.018512,27.4,0.13
-3.092388,-60.018541,6.8,0.44
-3.092353,-60.018473,11.0,2.98
-3.092353,-60.018465,11.7,2.85
-3.092351,-60.018469,11.8,1.94
-3.092351,-60.018475,11.8,0.91
-3.092347,-60.018473,12.4,0.41
-3.092348,-60.018465,12.9,0.87
-3.092347,-60.01847,13.3,0.35
-3.092342,-60.018478,13.4,0.74
-3.092339,-60.018478,14.0,1.02
-3.092338,-60.018479,14.6,1.17
-3.092341,-60.018472,15.1,0.89
-3.092337,-60.018469,15.1,0.28
-3.092337,-60.018463,14.9,0.76
-3.092332,-60.018459,15.2,0.35
-3.092331,-60.018436,15.3,2.28
-3.09233,-60.018445,15.0,0.93
-3.092328,-60.018442,15.0,0.94
-3.09233,-60.018433,14.8,1.48
-3.092329,-60.01843,14.7,1.13
-3.092327,-60.018425,14.6,1.26
-3.092328,-60.018429,14.6,0.56
-3.092328,-60.018438,14.5,0.52
-3.092327,-60.018441,14.6,0.96
-3.092328,-60.018439,14.4,0.48
-3.092329,-60.018443,14.1,0.69
-3.092331,-60.018436,13.8,0.39
-3.092331,-60.01843,14.2,0.3
-3.092332,-60.01842,14.5,0.69
-3.092335,-60.018419,14.3,0.81
-3.092339,-60.018423,14.1,0.85
-3.09234,-60.018421,14.1,0.35
-3.09234,-60.018425,14.0,0.7
-3.092344,-60.018428,14.1,0.96
-3.092347,-60.018433,14.2,1.22
-3.09235,-60.018431,14.0,0.39
-3.09235,-60.018437,13.5,0.67
-3.092351,-60.018439,13.3,0.57
-3.09235,-60.018448,12.7,1.15
-3.092352,-60.018449,12.6,0.57
-3.092354,-60.018456,11.9,0.3
-3.092358,-60.018467,10.8,0.33
-3.09236,-60.018482,9.8,0.67
-3.092364,-60.018492,8.9,0.44
-3.092366,-60.018505,7.9,0.5
-3.092385,-60.018542,4.5,1.22
-3.092386,-60.018557,3.4,0.33
-3.092388,-60.018561,2.8,0.3
-3.092388,-60.018566,2.9,0.69
-3.092388,-60.018562,3.4,0.59
-3.092388,-60.018555,3.7,0.33
-3.092388,-60.018551,4.4,0.43
-3.092386,-60.018548,4.9,0.3
-3.092386,-60.018544,5.2,0.04
-3.092385,-60.018544,5.6,0.26
-3.092385,-60.018541,5.8,0.24
-3.092383,-60.018543,6.1,0.87
-3.092384,-60.018541,6.7,0.39
-3.092384,-60.018539,7.1,0.3
-3.092383,-60.018547,8.0,1.28
-3.092379,-60.018552,8.5,2.17
-3.092378,-60.018555,9.1,2.26
-3.092378,-60.018558,9.9,2.22
-3.092378,-60.018556,10.6,1.72
-3.09238,-60.01855,11.1,0.76
-3.092378,-60.018553,12.0,1.52
-3.092382,-60.018546,12.8,0.57
-3.092381,-60.018545,13.5,0.65
-3.092379,-60.018546,14.1,1.0
-3.092381,-60.01854,14.8,0.54
-3.092374,-60.018557,15.8,2.33
-3.092376,-60.018557,16.7,1.39
-3.092375,-60.018565,17.9,1.89
-3.092384,-60.018563,19.5,1.44
-3.092395,-60.018556,20.6,0.54
-3.092396,-60.018555,21.5,0.2
-3.092397,-60.018555,22.4,0.43
-3.092397,-60.018554,23.1,0.24
-3.092392,-60.01856,23.9,1.24
-3.092392,-60.018562,24.7,1.04
-3.092395,-60.018562,25.4,0.56
-3.092395,-60.018561,26.1,0.24
-3.092393,-60.018559,26.7,0.2
-3.092391,-60.018558,27.5,0.44
-3.092391,-60.018556,28.1,0.26
-3.092392,-60.018555,29.0,0.69
-3.092392,-60.018561,29.8,1.37
-3.092391,-60.01856,30.5,1.61
-3.092391,-60.018561,31.2,1.46
-3.092386,-60.018562,31.9,1.76
-3.092392,-60.018559,32.8,0.94
3.092399,-60.018568,33.9,2.11
-3.092408,-60.018563,34.7,1.33
-3.092415,-60.018563,35.7,0.81
-3.092421,-60.018564,36.6,0.56
-3.092427,-60.01856,37.3,0.5
-3.09243,-60.018559,38.0,0.33
-3.092433,-60.018556,38.5,0.43
-3.092436,-60.018546,39.0,1.28
-3.092437,-60.018542,39.3,1.31
-3.092439,-60.01854,39.5,1.06
-3.09244,-60.018539,39.5,0.96
-3.092441,-60.018536,39.8,1.22
-3.092441,-60.018537,39.9,0.98
-3.092443,-60.018537,40.0,0.89
-3.092443,-60.01854,40.0,0.61
-3.092443,-60.018543,40.0,0.7
3.092444,-60.018547,40.4,0.69
-3.092447,-60.018546,40.8,0.15
-3.092451,-60.018545,41.3,0.41
-3.092454,-60.018543,41.6,0.63
-3.092456,-60.018542,41.5,0.54
-3.092457,-60.01854,41.6,0.65
-3.092457,-60.018536,41.3,0.85
-3.092455,-60.018534,41.2,0.76
-3.092453,-60.018534,40.9,0.59
-3.092452,-60.018533,40.7,0.54
-3.092447,-60.018532,40.4,1.11
-3.092445,-60.018529,40.2,1.3
-3.09244,-60.018528,39.9,1.28
-3.092436,-60.018524,39.7,1.57
-3.092432,-60.018517,39.9,2.06
-3.092428,-60.018513,39.8,2.26
-3.092429,-60.018513,39.9,1.41
-3.092422,-60.018505,39.8,2.2
-3.092423,-60.018502,40.1,1.96
-3.092423,-60.018508,40.3,1.04
-3.092417,-60.018501,40.2,1.43
-3.092419,-60.018505,40.3,1.22
-3.092416,-60.018512,40.4,0.52
-3.092411,-60.018508,40.4,0.7
-3.092412,-60.018506,40.5,1.22
-3.092407,-60.018507,40.3,0.93
-3.092398,-60.018509,40.2,0.52
-3.092391,-60.01851,38.9,0.67
-3.092385,-60.018512,37.6,0.54
-3.09238,-60.018511,36.7,0.76
-3.092373,-60.01851,34.2,1.22
-3.092366,-60.018512,33.5,1.37
-3.092363,-60.018509,32.2,1.43
-3.092363,-60.018507,30.6,1.11
-3.092365,-60.018505,29.7,1.26
-3.092361,-60.018501,29.2,1.02
-3.09236,-60.018492,28.8,1.48
-3.09236,-60.018486,28.6,1.3
-3.092359,-60.018481,28.5,0.98
3.092366,-60.018462,27.6,0.85
-3.09237,-60.018463,26.8,0.69
-3.092375,-60.01846,25.9,0.96
-3.092379,-60.01846,24.8,0.96
-3.092382,-60.018457,23.7,1.15
-3.092385,-60.018451,23.0,1.41
-3.092388,-60.01845,22.3,1.09
-3.092389,-60.018452,21.7,0.43
-3.092392,-60.018446,20.7,1.11
-3.092394,-60.018444,19.8,0.93
3.092395,-60.018449,19.2,0.41
-3.092398,-60.018442,18.8,0.35
-3.092401,-60.01843,18.4,1.56
-3.092403,-60.01842,18.1,2.0
-3.092405,-60.018423,17.9,0.93
-3.092408,-60.018415,17.6,1.5
-3.092409,-60.01842,17.5,0.41
-3.09241,-60.018422,17.4,0.07
-3.09241,-60.01843,17.4,1.07
-3.092411,-60.018428,17.0,0.93
-3.092412,-60.018433,16.9,1.31
-3.092413,-60.01843,16.6,0.61
-3.092414,-60.018427,16.3,0.28
-3.092414,-60.01843,16.3,0.46
-3.092414,-60.018431,16.3,0.61
-3.092414,-60.018435,16.6,0.15
-3.092413,-60.018435,16.7,0.37
-3.092413,-60.018436,16.7,0.5
-3.092414,-60.018435,16.9,0.83
-3.092415,-60.018432,16.8,1.46
-3.092414,-60.018433,16.7,1.43
-3.092414,-60.018432,16.0,1.13
-3.092414,-60.018435,15.7,0.8
-3.092412,-60.01844,15.7,0.39
-3.092411,-60.01844,15.2,0.65
-3.092408,-60.018448,15.1,0.52
-3.092407,-60.018451,15.1,0.48
-3.092408,-60.018451,15.3,0.31
-3.092409,-60.018447,15.3,0.65
-3.09241,-60.01845,15.5,0.37
-3.092411,-60.01845,15.3,0.67
-3.092412,-60.01845,15.2,0.31
-3.092412,-60.018444,15.3,0.43
-3.092409,-60.018441,15.5,1.06
-3.092407,-60.018441,15.3,0.78
-3.092406,-60.01844,15.3,0.33
-3.092405,-60.01844,14.8,0.89
-3.092407,-60.018428,14.5,0.28
-3.092407,-60.018421,14.1,0.24
-3.092408,-60.018415,13.8,0.26
-3.09241,-60.018411,13.8,0.48
-3.092411,-60.018391,9.0,0.2
-3.092411,-60.018384,8.5,0.61
-3.092409,-60.018385,8.5,0.28
-3.092409,-60.018383,8.4,0.54
-3.092411,-60.018378,8.6,1.09
-3.092409,-60.01838,8.9,0.69
-3.092406,-60.018382,9.0,0.31
-3.092406,-60.018377,8.8,1.02
-3.092402,-60.018378,9.1,0.39
-3.092405,-60.018375,9.7,0.48
-3.09241,-60.01837,10.5,1.0
-3.092412,-60.018368,10.8,1.15
-3.092434,-60.018375,16.0,0.76
-3.092435,-60.018378,16.9,0.24
-3.092458,-60.018382,22.8,1.15
-3.092465,-60.018385,23.8,0.78
-3.092471,-60.018385,25.2,0.56
-3.092476,-60.018375,25.6,1.85
-3.092479,-60.018377,26.2,1.15
-3.092483,-60.018376,26.7,1.3
-3.092491,-60.01838,28.2,0.67
-3.092494,-60.018384,29.2,0.26
-3.092496,-60.018388,30.1,0.09
-3.092499,-60.018391,31.1,0.11
-3.092503,-60.018395,32.6,0.28
-3.092506,-60.018397,33.4,0.54
-3.092509,-60.018395,34.0,0.09
-3.092512,-60.018395,34.6,0.15
-3.092516,-60.018397,36.0,0.13
-3.092519,-60.018393,36.2,0.46
-3.092521,-60.018394,36.6,0.39
-3.092522,-60.018397,37.2,0.11
-3.092526,-60.018401,38.2,0.31
-3.092525,-60.018403,37.9,0.61
-3.092521,-60.018419,35.4,2.28
-3.09252,-60.018424,34.8,2.2
-3.092519,-60.018421,34.2,1.13
-3.09252,-60.01842,33.3,0.85
-3.092509,-60.0184,26.9,0.93
-3.092507,-60.018393,25.3,1.04
-3.092492,-60.018382,18.3,0.74
-3.092487,-60.018386,17.4,0.41
-3.092414,-60.018326,-21.8,0.93
-3.092413,-60.018338,-24.6,0.7
-3.092408,-60.018433,-21.5,1.72
-3.09241,-60.018441,-21.1,0.11
-3.092412,-60.018441,-21.4,0.87
-3.092411,-60.018442,-19.9,1.02
-3.092413,-60.018436,-19.1,1.31
-3.092413,-60.018433,-18.3,0.91
-3.092415,-60.018425,-17.4,1.96
-3.092415,-60.01843,-16.7,0.87
-3.092413,-60.018433,-14.4,1.65
-3.092413,-60.018423,-13.7,1.61
-3.092411,-60.018423,-13.0,0.37
-3.092414,-60.018421,-14.4,1.04
-3.092411,-60.01842,-13.6,0.57
-3.092411,-60.018415,-13.6,0.28
-3.09241,-60.018411,-14.6,0.24
-3.09241,-60.018405,-15.3,0.24
-3.092406,-60.018392,-16.4,0.89
-3.092406,-60.018383,-17.4,1.35
-3.092406,-60.018381,-17.8,0.87
-3.092407,-60.01837,-19.0,1.67
-3.092406,-60.018368,-18.7,0.93
-3.092404,-60.018365,-18.9,0.5
-3.092402,-60.018363,-18.4,0.43
-3.0924,-60.018361,-17.5,0.46
-3.092396,-60.018361,-15.3,0.8
-3.092395,-60.018361,-14.4,0.89
-3.092395,-60.018358,-13.2,0.63
-3.092398,-60.018354,-12.0,0.39
-3.092401,-60.018353,-9.2,0.13
-3.092404,-60.01835,-8.8,0.31
-3.092407,-60.01835,-7.8,0.67
-3.092409,-60.018346,-7.0,0.24
-3.092419,-60.018322,-2.1,0.35
-3.09242,-60.018318,-1.3,0.39
-3.092432,-60.018276,2.2,0.17
-3.092433,-60.018272,3.3,0.09
-3.092436,-60.01827,12.1,1.07
-3.092436,-60.01827,14.1,1.11
-3.092437,-60.018261,15.8,0.26
-3.092439,-60.018255,16.9,0.78
-3.092439,-60.018253,17.8,0.87
-3.092439,-60.018258,18.7,0.24
-3.09244,-60.018258,19.8,0.61
-3.09244,-60.018253,21.4,0.5
-3.092438,-60.018262,24.0,0.98
-3.092436,-60.018266,25.2,1.28
-3.092435,-60.018274,26.1,1.69
-3.092433,-60.018277,26.4,1.3
-3.092431,-60.01829,27.2,1.39
-3.09243,-60.018293,27.5,1.02
-3.092429,-60.018295,27.2,0.76
-3.092425,-60.018312,27.7,2.04
-3.092424,-60.018329,27.0,1.54
-3.092426,-60.018329,26.4,0.65
-3.092424,-60.018335,25.5,0.26
-3.092424,-60.018345,24.1,0.2
-3.092419,-60.01835,22.8,0.56
-3.092419,-60.01836,22.0,0.56
-3.092417,-60.018363,21.4,0.19
-3.092417,-60.018368,20.1,0.67
-3.092409,-60.018373,18.1,0.63
-3.092403,-60.018386,17.9,1.37
-3.092403,-60.018391,17.5,0.54
-3.092399,-60.018397,17.0,0.69
-3.092386,-60.018443,15.0,1.61
-3.092384,-60.018456,14.7,1.94
-3.092372,-60.018486,15.0,0.7
-3.092363,-60.018478,15.0,0.81
-3.092354,-60.018453,13.7,1.2
-3.092355,-60.018456,14.2,0.5
-3.092349,-60.018444,17.0,0.93
-3.092328,-60.018399,19.9,1.52
-3.09232,-60.018387,20.4,1.74
-3.092321,-60.018388,21.0,1.06
-3.092315,-60.01838,21.5,1.28
-3.092308,-60.018376,22.7,1.43
-3.092306,-60.018368,23.3,1.0
-3.092306,-60.018364,23.8,0.52
-3.092307,-60.018361,24.2,0.41
-3.092308,-60.018355,24.9,0.26
-3.09231,-60.018351,25.3,0.2
-3.09231,-60.018352,25.8,0.56
-3.09231,-60.018354,26.1,1.02
-3.092314,-60.018348,26.9,0.35
-3.092317,-60.018345,27.1,0.33
-3.092318,-60.018345,27.3,0.11
-3.092319,-60.018348,27.4,0.48
-3.092318,-60.018341,27.6,0.8
-3.092319,-60.018343,28.2,0.09
-3.092319,-60.018348,28.6,0.63
-3.092322,-60.018342,29.0,0.61
-3.092321,-60.018354,29.4,1.09
-3.09232,-60.018358,29.3,1.31
-3.092322,-60.018364,29.6,1.69
-3.092324,-60.018363,29.5,0.96
-3.09233,-60.018368,29.7,0.31
-3.092329,-60.018374,29.4,0.43
-3.092335,-60.01838,30.6,0.52
-3.092337,-60.018385,30.2,1.17
-3.092343,-60.018395,30.7,0.33
-3.092343,-60.018399,30.9,0.56
-3.092341,-60.018412,30.3,0.57
-3.092338,-60.018412,30.2,0.46
-3.092334,-60.018414,30.3,0.63
-3.09233,-60.01841,30.3,0.17
-3.092328,-60.018401,30.5,0.91
-3.092328,-60.018396,30.6,1.11
-3.092325,-60.018396,30.5,0.93
-3.092323,-60.018392,30.2,1.19
-3.092318,-60.018401,29.5,0.37
-3.092315,-60.018403,29.1,0.5
-3.092312,-60.018406,28.7,0.57
-3.09231,-60.018412,28.2,0.98
-3.092314,-60.018414,27.0,1.07
-3.092317,-60.018415,26.5,1.09
-3.092321,-60.018407,26.2,1.09
-3.092323,-60.018401,25.6,1.26
-3.092327,-60.018394,25.0,1.04
-3.092329,-60.018394,24.6,0.96
-3.092328,-60.018396,24.4,0.54
-3.09233,-60.018392,23.8,1.07
-3.092324,-60.01841,17.0,0.41
-3.092327,-60.018407,16.1,0.2
-3.09235,-60.018367,11.0,1.87
-3.092353,-60.018364,10.0,1.19
-3.092353,-60.018378,4.5,0.63
-3.092351,-60.018381,4.1,0.81
-3.09237,-60.018351,9.5,1.31
-3.092367,-60.018352,7.1,2.11
-3.092364,-60.018348,5.1,2.87
-3.092365,-60.018344,3.8,3.26
-3.092358,-60.018349,1.1,2.67
-3.092354,-60.018351,0.0,2.35
-3.092352,-60.018355,-0.5,1.67
-3.092349,-60.018352,-1.1,1.52
-3.092346,-60.018351,-1.5,0.93
-3.092344,-60.018345,-1.7,1.06
-3.092344,-60.018371,-1.5,0.81
-3.092343,-60.01838,-1.5,1.39
-3.092328,-60.018376,-1.2,0.89
-3.092324,-60.018385,-1.0,1.33
-3.092318,-60.018384,-0.6,1.17
-3.092311,-60.018394,-0.2,1.74
-3.09229,-60.018397,2.6,0.54
-3.09229,-60.018386,3.4,1.41
-3.092266,-60.018409,7.1,1.0
-3.092261,-60.018414,8.5,1.61
-3.092249,-60.018416,12.5,0.54
-3.092243,-60.018419,13.7,0.39
-3.092244,-60.018419,14.3,0.33
-3.092242,-60.018424,14.7,0.43
-3.092237,-60.018433,15.3,1.63
-3.092227,-60.018448,15.9,2.09
-3.092219,-60.018459,16.6,2.8
-3.092214,-60.018464,17.1,2.54
-3.09221,-60.018469,17.6,2.19
-3.092215,-60.01849,17.7,3.35
-3.092221,-60.018482,17.8,2.35
-3.092228,-60.018473,18.1,1.78
-3.092233,-60.018468,18.6,1.37
-3.092239,-60.01845,19.9,0.54
-3.092242,-60.018435,21.3,0.22
-3.092247,-60.018413,21.9,1.13
-3.09225,-60.018404,22.7,0.61
-3.092258,-60.018387,23.6,0.54
-3.09226,-60.01838,24.1,0.44
-3.092262,-60.018372,24.5,0.48
-3.092266,-60.018367,24.4,0.48
-3.092286,-60.018356,25.2,1.44
-3.0923,-60.01834,26.2,0.87
-3.092303,-60.018343,26.4,1.46
-3.092323,-60.018359,26.1,0.61
-3.092324,-60.018366,26.1,0.72
-3.092335,-60.018416,28.2,1.02
-3.092339,-60.018425,28.5,1.39
-3.092347,-60.018442,31.6,0.39
-3.092347,-60.018442,32.6,0.3
-3.092347,-60.018442,33.4,0.41
-3.092347,-60.018442,34.2,0.33
-3.092346,-60.018434,36.2,0.3
-3.092345,-60.018434,37.1,0.54
-3.092341,-60.018427,38.0,0.44
-3.092342,-60.018425,38.8,0.31
-3.092339,-60.01842,40.6,0.11
-3.092338,-60.018417,41.6,0.06
-3.092338,-60.018415,42.4,0.19
-3.092336,-60.018413,43.2,0.19
-3.09233,-60.018411,44.8,0.41
-3.092328,-60.018408,45.8,0.19
-3.092327,-60.018406,46.7,0.06
-3.092323,-60.018405,47.8,0.22
-3.092316,-60.018404,49.8,0.43
-3.092316,-60.018397,49.0,0.74
-3.092316,-60.01839,48.4,1.24
-3.092316,-60.018383,47.7,1.31
-3.092315,-60.018376,48.0,0.74
-3.092312,-60.018377,49.2,0.31
-3.092309,-60.018376,50.4,0.41
-3.092306,-60.018375,51.6,0.33
-3.092301,-60.018377,53.6,0.17
-3.092299,-60.018377,54.4,0.15
-3.092296,-60.018378,55.2,0.09
-3.092296,-60.018377,55.8,0.13
-3.092294,-60.018378,57.1,0.22
-3.092298,-60.018383,56.8,0.31
-3.092298,-60.018386,57.2,0.41
-3.092308,-60.018384,53.0,0.52
-3.092309,-60.018386,53.2,0.35
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
